gender;firstname;lastname;address;city;birthday
F;Sinem;Acke;rue C. Bouvier 26;Couvin;19831103
M;Ives;Adam;rue Saint Joseph 36;Namur;19821016
F;Liliane;Adamski;rue de la foulerie 40;Saint-Servais;19911211
M;Fabrice;Adriaenssens;332 route de Gembloux;Namur;19920722
M;Benoît;Aelvoet;rue Paul Janson 47;Namur;19900101
M;David;Aernoudt;rue edmond Picard 51;Namur;19830929
M;Olivier;Afonso Moreira;Rue Louis Delimoy(BU) 24;Ciney;19910523
M;Claude;Aidant;Avenue du Parc(BU) 20;Couvin;19840103
M;Philippe;Alaoui Mrani;Route de Hannut(BU) 47 /0012;Saint-Servais;19890920
F;Maite;Albert;La forestière, 147;Namur;19830922
F;Laurence;ALVAREZ MONTANO;Rue du Village(AR) 24 /0001;Saint-Servais;19910504
F;Lindsay;Amant;Chemin de Beauloye(CG) 110;Couvin;19910418
M;Thomas;Anciaux;rue de Temploux, 13;Temploux;19840923
M;Michel;Anciaux;Rue François Bovesse(VD) 74;Namur;19841128
M;Antonin;Anciaux;rue Libert 12;Namur;19850613
M;Patrick;ANDRE;Rue Grande(WD) 58;Dourbes;19831220
F;Nepher;Andre;rue de revin 15;Frasnes (Nam.);19850531
F;Muss;Andre;45, Rue Des Ramiers;Namur;19900329
F;Viviane;André;Rue Ainseveau 44;Bouge;19780722
F;Mireille;Ansiaux;Rue de la Cointe(SM) 18;Fernelmont;19910617
M;Mel;Antoine;Place St Victor,14;Macquenoise;19901113
M;Eric;Antonius;229 b Chaussée de Louvain;Namur;19891206
F;Lidwine;Archambeau;Rue De La Station 5;Saint-Marc;19790430
M;Yves;Armand;rue roche Albéric 49;Namur;19871023
F;Christine;Arnould;Rue de la Pyrite(VD) 9;Namur;19861104
M;Florent;Arnould;Rue Duhainaut(JB) 45;Nismes;19870531
M;Gauthier;Art;Rue Des Paquages 22;Namur;19820129
F;Alice;Art;Chemin du Gros Sous(WP) 48;Hastière-Lavaux;19870312
M;Benjamin;Art;Tienne de la Pichaute 17;Namur;19911223
M;Kenan;Art;Rue du Rivage(Mél.) 80;Fernelmont;19930311
F;Florence;Art;Tienne de Bouge(BU) 4;Petigny;19971109
F;Sonia;Asik;rue G. Bayard 41;Andenne;19831018
F;Céline;Asik;Avenue reine Astrid 11;Héron;19960522
F;Mathilde;Attout;Rue des Perdrix(BZ) 13;Andenne;19871123
F;Neslihan;Aubertin;Rue Des Calvaires 21;Bouge;19780614
F;Francoise;Aubry;rue St Georges, 15;Daussoulx;19810618
M;André;Avalosse;Allée Saint-Vincent(JB) 30;Namur;19870615
F;Mado;Babylas;Rue Frères Biéva(VD) 183;Ohey;19870307
F;Bénédicte;Baccus;23 rue Davreux;Couvin;19920601
F;Muriel;Bachelart;rue Adolphe Gouttier;Viroinval;19850720
F;Laura;Bacus;Rue des Champs Verts(CH) 57;Nismes;19880315
M;Anthony;Badard;rue Charles Bouvier 18;oignies-en-Thiérache;19800429
F;Annick;Baeken;Allée Du Moulin Ó Vent 8;Namur;19820125
M;Thibaut;Baes;rue Humeree 37;Couvin;19900922
F;Sarah;Baggio;10 rue des étournaux;Saint-Marc;19880206
F;Sophie;BAGGIO;rue Sainte Barbe 5;Namur;19890214
M;Martin;Baijot;rue de l'institut 9;Mariembourg;19801213
